datetime,open,high,low,close,volume
2023-06-29,119.24000,120.06000,118.30000,119.10000,24090900
2023-06-28,117.09000,120.39000,116.85000,120.18000,27091400
2023-06-27,117.08000,119.08000,116.10000,118.33000,39535900
2023-06-26,120.76000,122.00000,118.27000,118.34000,33969900
2023-06-23,121.38000,122.79000,121.06000,122.34000,34885300
2023-06-22,120.00000,123.24000,118.83000,123.15000,26952200
2023-06-21,122.40000,122.66000,120.10000,120.55000,30306300
2023-06-20,122.93000,124.57000,122.14000,123.10000,26097500
2023-06-16,125.93000,126.11000,123.28000,123.53000,45514000
2023-06-15,123.14000,125.46000,122.40000,125.09000,35246300
2023-06-14,123.10000,124.05000,121.45000,123.67000,30592300
2023-06-13,124.98000,125.16000,123.18000,123.83000,22278300
2023-06-12,122.79000,124.05000,121.66000,123.64000,28306400
2023-06-09,122.25000,123.76000,121.91000,122.23000,23762500
2023-06-08,122.23000,123.23000,121.24000,122.14000,29389200
2023-06-07,126.97000,129.03999,122.12000,122.50000,52539000
2023-06-06,126.01000,128.28999,125.36000,127.31000,26638300
2023-06-05,124.01000,127.43000,123.84000,126.01000,32305500
2023-06-02,123.99000,126.15000,123.76000,124.67000,26963100
2023-06-01,122.82000,124.42000,122.62000,123.72000,30772700
2023-05-31,122.75000,124.06000,122.50000,122.87000,37325800
2023-05-30,125.64000,125.66000,122.00000,123.67000,35076700
2023-05-26,123.17000,125.26000,122.45000,124.61000,35635900
2023-05-25,124.52000,125.32000,121.96000,123.48000,42317000
2023-05-24,121.12000,121.91000,119.86000,120.90000,34182600
2023-05-23,124.16000,124.63000,122.21000,122.56000,34046300
2023-05-22,122.94000,126.43000,122.74000,125.05000,35253000
2023-05-19,123.55000,125.97000,122.15000,122.76000,41330300
2023-05-18,120.95000,123.31000,120.83000,122.83000,35234200
2023-05-17,119.61000,121.67000,118.89000,120.84000,33323600
2023-05-16,116.49000,120.75000,116.43000,119.51000,45035600
2023-05-15,116.11000,118.48000,116.01000,116.51000,36266800
2023-05-12,116.68000,118.03000,116.11000,117.51000,41073800
2023-05-11,115.40000,117.92000,114.41000,116.57000,78900000
2023-05-10,107.97000,112.94000,107.93000,111.75000,63153400
2023-05-09,108.39000,110.15000,107.19000,107.35000,36360100
2023-05-08,105.18000,107.96000,105.16000,107.77000,26511400
2023-05-05,104.82000,105.88000,104.11000,105.57000,26625100
2023-05-04,105.49000,105.60000,103.97000,104.69000,23419500
2023-05-03,105.53000,107.49000,104.96000,105.41000,21795400
2023-05-02,107.14000,107.20000,103.71000,105.32000,30997200
2023-05-01,106.84000,107.99000,106.82000,107.20000,26681700
2023-04-28,107.04000,107.35000,105.09000,107.34000,36139800
2023-04-27,104.45000,108.37000,103.54000,107.59000,50089200
2023-04-26,104.92000,106.35000,102.63000,103.71000,53347600
2023-04-25,105.83000,106.69000,103.84000,103.85000,46664100
2023-04-24,105.49000,106.63000,104.70000,105.97000,23542800
2023-04-21,105.47000,106.00000,104.78000,105.41000,25784600
2023-04-20,103.91000,106.25000,103.87000,105.29000,27820800
2023-04-19,103.58000,104.98000,103.07000,104.18000,20905700
2023-04-18,106.49000,106.54000,104.07000,104.50000,26596400
2023-04-17,104.66000,106.16000,104.52000,105.97000,37571200
2023-04-14,106.89000,108.94000,106.84000,108.87000,26547800
2023-04-13,105.84000,107.49000,105.84000,107.43000,24843600
2023-04-12,106.58000,106.75000,104.34000,104.64000,24370300
2023-04-11,106.55000,106.73000,104.68000,105.35000,26311800
2023-04-10,106.98000,107.59000,105.12000,106.44000,27067400
2023-04-06,105.26000,109.17000,104.33000,108.42000,48711500
2023-04-05,105.78000,106.10000,103.66000,104.47000,28290500
2023-04-04,104.33000,105.58000,104.04000,104.72000,24420100
2023-04-03,102.39000,104.53000,101.93000,104.36000,25035400
2023-03-31,101.30000,103.89000,101.04000,103.73000,36823200
2023-03-30,100.91000,101.16000,99.78000,100.89000,33086200
2023-03-29,102.28000,102.49000,100.65000,101.39000,28779600
2023-03-28,102.44000,102.45000,99.74000,101.03000,32057900
2023-03-27,104.62000,104.76000,101.93000,102.46000,31120900
2023-03-24,104.99000,105.49000,103.84000,105.44000,30411000
2023-03-23,105.06000,106.30000,104.46000,105.60000,40797800
2023-03-22,104.27000,106.59000,103.33000,103.37000,43427400
2023-03-21,101.25000,105.10000,101.22000,104.92000,42110300
2023-03-20,100.12000,101.75000,99.87000,101.22000,32960400
2023-03-17,100.26000,102.84000,100.10000,101.62000,60979700
2023-03-16,96.20000,101.19000,95.50000,100.32000,65492000
2023-03-15,93.22000,96.93000,92.64000,96.11000,50622100
2023-03-14,92.56000,94.36000,92.44000,93.97000,36050200
2023-03-13,90.09000,92.57000,89.42000,91.11000,37335600
2023-03-10,92.17000,92.79000,90.40000,90.63000,35927000
2023-03-09,94.05000,95.53000,91.90000,92.32000,28813500
2023-03-08,94.12000,95.96000,94.00000,94.25000,34103300
2023-03-07,94.98000,95.67000,93.53000,93.86000,27835500
2023-03-06,94.02000,95.97000,94.00000,95.13000,32639300
2023-03-03,92.48000,93.73000,92.45000,93.65000,35133300
2023-03-02,89.66000,92.28000,89.59000,92.00000,32204400
2023-03-01,89.98000,91.03000,89.67000,90.36000,31111200
2023-02-28,89.33000,91.23000,89.32000,90.06000,30142000
2023-02-27,89.87000,90.16000,89.34000,89.87000,27502300
2023-02-24,89.44000,89.89000,88.58000,89.13000,36585100
2023-02-23,91.92000,91.94000,89.76000,90.89000,41206400
2023-02-22,91.70000,92.11000,90.61000,91.65000,30884000
2023-02-21,93.00000,93.10000,91.72000,91.79000,33629300
2023-02-17,94.85000,95.56000,93.21000,94.35000,34246300
2023-02-16,95.37000,97.68000,94.74000,95.51000,42462600
2023-02-15,94.49000,97.12000,94.15000,96.94000,50298500
2023-02-14,94.43000,94.85000,92.26000,94.68000,54726100
2023-02-13,94.74000,95.20000,93.84000,94.61000,50076100
2023-02-10,95.45000,96.75000,94.25000,94.57000,54927500
2023-02-09,100.00000,100.03000,93.63000,95.01000,119455000
2023-02-08,102.05000,103.14000,98.04000,99.37000,94743500
2023-02-07,103.22000,108.18000,103.12000,107.64000,49010200
2023-02-06,102.40000,104.36000,101.88000,102.90000,31999600
